sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
238	19	dop	0.9109820000001037	-126.67360791975679	35	127437	48	48
239	7	dop	0.08116500000005544	-53.62488502079235	11	14981	19	19
240	24	dop	2.808819999999969	-145.0606261129326	29	239355	65	65
241	31	dop	6.504011999999875	-212.0812333155389	41	384598	80	80
242	24	dop	2.230246000000079	-210.2426976587848	42	218865	63	63
243	16	dop	0.7799019999999928	-77.84910609346012	18	109151	39	39
244	20	dop	1.868073000000095	-128.70450391256338	25	192395	49	49
245	16	dop	0.641409000000067	-76.26920079865917	16	100678	40	40
246	7	dop	0.08254199999987577	-41.76821544838997	8	18234	18	18
247	12	dop	0.29775500000005195	-87.1578109174209	18	46522	32	32
248	16	dop	0.7144599999999173	-91.36683239303736	17	113144	42	42
249	21	dop	1.6664349999998649	-118.17897546939216	25	179357	55	55
250	7	dop	0.08827999999994063	-36.08414553945289	8	20186	20	20
251	11	dop	0.21336900000005699	-69.77728369195009	13	46056	29	29
252	11	dop	0.22993000000019492	-65.69451630613237	14	47876	28	28
253	29	dop	7.641166999999996	-185.5110484372199	33	418197	76	76
254	9	dop	0.07879000000002634	-25.416411348598277	4	11043	22	22
255	29	dop	5.785384000000022	-174.95861430241345	37	364610	73	73
256	17	dop	0.861985999999888	-82.28363124936018	18	115972	43	43
257	18	dop	1.0854950000000372	-115.80308938339212	22	140736	44	44
258	19	dop	1.4114509999999427	-118.04033941734252	24	165564	49	49
259	23	dop	3.398439000000053	-122.28037107611449	21	270805	55	55
260	18	dop	1.0659359999999651	-118.99304748438998	21	136610	50	50
261	19	dop	1.960743999999977	-122.48981063870437	23	193781	53	53
262	18	dop	1.534488999999894	-104.091881988477	18	170671	46	46
263	25	dop	3.0658500000001823	-135.62968758583247	30	249763	71	71
264	17	dop	0.8916189999999915	-115.36255445972684	20	124955	45	45
265	22	dop	1.6840799999999945	-112.54657343676104	26	184363	55	55
266	22	dop	2.4864480000001095	-142.60071126472565	25	226869	57	57
267	22	dop	1.7318890000001375	-121.76104270717103	28	186768	57	57
268	28	dop	6.593948999999839	-156.1141357640885	30	390650	71	71
